 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb,model.000.15.pdb,model.000.16.pdb,model.000.17.pdb,model.000.18.pdb,model.000.19.pdb
model.000.00.pdb,0.145,0.269,0.051,0.000,0.274,0.000,0.213,0.000,0.081,0.013,0.059,0.013,0.000,0.206,0.000,0.000,0.043,0.069,0.057,0.014
model.000.01.pdb,0.000,0.000,0.053,0.348,0.000,0.259,0.000,0.291,0.000,0.101,0.373,0.000,0.190,0.104,0.000,0.565,0.250,0.364,0.358,0.090
model.000.02.pdb,0.038,0.000,0.102,0.241,0.025,0.177,0.055,0.810,0.092,0.446,0.071,0.107,0.509,0.000,0.036,0.262,0.042,0.096,0.069,0.368
model.000.03.pdb,0.000,0.000,0.052,0.260,0.000,0.211,0.000,0.286,0.000,0.100,0.449,0.000,0.188,0.154,0.000,0.521,0.246,0.382,0.377,0.088
model.000.04.pdb,0.000,0.000,0.018,0.487,0.000,0.333,0.000,0.426,0.028,0.241,0.048,0.072,0.291,0.000,0.069,0.360,0.082,0.109,0.062,0.169
model.000.05.pdb,0.212,0.241,0.167,0.000,0.404,0.000,0.293,0.000,0.157,0.053,0.028,0.013,0.013,0.167,0.000,0.000,0.014,0.013,0.014,0.056
model.000.06.pdb,0.029,0.000,0.019,0.357,0.000,0.235,0.000,0.320,0.043,0.291,0.016,0.123,0.321,0.000,0.152,0.264,0.032,0.045,0.015,0.153
model.000.07.pdb,0.013,0.000,0.000,0.550,0.000,0.447,0.000,0.340,0.013,0.188,0.111,0.068,0.250,0.014,0.095,0.500,0.148,0.210,0.143,0.074
model.000.08.pdb,0.000,0.000,0.000,0.133,0.000,0.233,0.000,0.000,0.000,0.000,0.357,0.000,0.000,0.356,0.000,0.219,0.617,0.500,0.529,0.000
model.000.09.pdb,0.000,0.028,0.061,0.091,0.024,0.130,0.012,0.025,0.000,0.000,0.667,0.000,0.012,0.527,0.000,0.262,0.429,0.635,0.640,0.025
model.000.10.pdb,0.059,0.000,0.000,0.190,0.011,0.209,0.012,0.151,0.071,0.141,0.012,0.400,0.189,0.000,0.403,0.118,0.025,0.023,0.012,0.103
model.000.11.pdb,0.048,0.000,0.203,0.159,0.048,0.129,0.078,0.608,0.099,0.450,0.157,0.072,0.509,0.012,0.011,0.277,0.038,0.132,0.122,0.448
model.000.12.pdb,0.333,0.212,0.341,0.000,0.551,0.000,0.479,0.029,0.305,0.172,0.000,0.069,0.088,0.074,0.053,0.000,0.000,0.000,0.000,0.180
model.000.13.pdb,0.185,0.391,0.034,0.000,0.328,0.000,0.241,0.000,0.114,0.013,0.029,0.013,0.000,0.138,0.013,0.000,0.000,0.027,0.029,0.014
model.000.14.pdb,0.064,0.000,0.000,0.193,0.012,0.194,0.013,0.132,0.077,0.139,0.000,0.448,0.191,0.000,0.500,0.099,0.041,0.013,0.000,0.097
model.000.15.pdb,0.323,0.190,0.000,0.000,0.155,0.000,0.167,0.027,0.317,0.052,0.000,0.383,0.067,0.000,0.509,0.000,0.000,0.000,0.000,0.054
model.000.16.pdb,0.000,0.000,0.279,0.000,0.000,0.000,0.015,0.100,0.014,0.109,0.354,0.000,0.186,0.169,0.000,0.196,0.140,0.250,0.264,0.172
model.000.17.pdb,0.190,0.057,0.677,0.000,0.232,0.000,0.306,0.068,0.250,0.236,0.016,0.029,0.155,0.082,0.000,0.000,0.000,0.000,0.000,0.275
model.000.18.pdb,0.037,0.000,0.259,0.148,0.037,0.118,0.067,0.519,0.103,0.474,0.130,0.089,0.627,0.012,0.047,0.250,0.054,0.122,0.096,0.421
model.000.19.pdb,0.574,0.412,0.236,0.000,0.574,0.000,0.600,0.068,0.536,0.200,0.000,0.132,0.137,0.000,0.127,0.000,0.000,0.000,0.000,0.191
